 #   Polarized Flux in [erg/s/Hz/ster] per g IM
 # wel(mu)  emis      emip_t    emip_c    emip_Si   emip_d
  2.75E+01  3.32E-13  1.12E-20  1.12E-20  3.71E-28  5.87E-24
  2.50E+01  2.55E-13  8.74E-22  8.74E-22  5.69E-30  2.17E-25
  2.40E+01  2.28E-13  2.70E-22  2.70E-22  8.29E-31  4.74E-26
  2.35E+01  2.17E-13  1.45E-22  1.45E-22  2.97E-31  2.11E-26
  2.32E+01  2.10E-13  9.78E-23  9.78E-23  1.57E-31  1.27E-26
  2.31E+01  2.08E-13  8.57E-23  8.57E-23  1.27E-31  1.07E-26
  2.30E+01  2.05E-13  7.50E-23  7.49E-23  1.02E-31  9.01E-27
  2.25E+01  1.95E-13  3.75E-23  3.75E-23  3.32E-32  3.71E-27
  2.20E+01  1.86E-13  1.82E-23  1.82E-23  1.03E-32  1.46E-27
  2.15E+01  1.77E-13  8.53E-24  8.53E-24  3.01E-33  5.48E-28
  2.12E+01  1.72E-13  5.32E-24  5.32E-24  1.39E-33  2.98E-28
  2.11E+01  1.71E-13  4.53E-24  4.53E-24  1.07E-33  2.42E-28
  2.10E+01  1.69E-13  3.85E-24  3.85E-24  8.23E-34  1.96E-28
  2.08E+01  1.66E-13  2.75E-24  2.75E-24  4.80E-34  1.28E-28
  2.00E+01  1.55E-13  6.76E-25  6.76E-25  4.94E-35  2.11E-29
  1.95E+01  1.48E-13  2.66E-25  2.66E-25  1.07E-35  6.30E-30
  1.90E+01  1.41E-13  1.00E-25  1.00E-25  2.10E-36  1.74E-30
  1.85E+01  1.31E-13  3.57E-26  3.57E-26  3.71E-37  4.43E-31
  1.83E+01  1.27E-13  2.33E-26  2.33E-26  1.80E-37  2.50E-31
  1.82E+01  1.25E-13  1.87E-26  1.87E-26  1.24E-37  1.86E-31
  1.81E+01  1.22E-13  1.49E-26  1.49E-26  8.54E-38  1.39E-31
  1.80E+01  1.20E-13  1.19E-26  1.19E-26  5.85E-38  1.03E-31
  1.75E+01  1.07E-13  3.75E-27  3.75E-27  8.09E-39  2.17E-32
  1.70E+01  9.44E-14  1.09E-27  1.09E-27  9.74E-40  4.15E-33
  1.67E+01  8.71E-14  5.02E-28  5.02E-28  2.55E-40  1.47E-33
  1.65E+01  8.21E-14  2.96E-28  2.96E-28  1.01E-40  7.25E-34
  1.64E+01  7.96E-14  2.26E-28  2.26E-28  0.00E+00  5.04E-34
  1.63E+01  7.71E-14  1.72E-28  1.72E-28  0.00E+00  3.49E-34
  1.61E+01  7.21E-14  9.82E-29  9.82E-29  0.00E+00  1.65E-34
  1.60E+01  6.97E-14  7.38E-29  7.38E-29  0.00E+00  1.13E-34
  1.59E+01  6.74E-14  5.53E-29  5.53E-29  0.00E+00  7.70E-35
  1.58E+01  6.52E-14  4.13E-29  4.13E-29  0.00E+00  5.22E-35
  1.57E+01  6.31E-14  3.06E-29  3.06E-29  0.00E+00  3.51E-35
  1.56E+01  6.10E-14  2.27E-29  2.27E-29  0.00E+00  2.36E-35
  1.54E+01  5.71E-14  1.23E-29  1.23E-29  0.00E+00  1.05E-35
  1.52E+01  5.37E-14  6.54E-30  6.54E-30  0.00E+00  4.57E-36
  1.51E+01  5.21E-14  4.73E-30  4.73E-30  0.00E+00  2.99E-36
  1.50E+01  5.05E-14  3.40E-30  3.40E-30  0.00E+00  1.94E-36
  1.45E+01  4.43E-14  6.16E-31  6.16E-31  0.00E+00  2.11E-37
  1.44E+01  4.35E-14  4.32E-31  4.32E-31  0.00E+00  1.33E-37
  1.43E+01  4.30E-14  3.02E-31  3.02E-31  0.00E+00  8.39E-38
  1.42E+01  4.23E-14  2.09E-31  2.09E-31  0.00E+00  5.26E-38
  1.40E+01  4.15E-14  9.92E-32  9.92E-32  0.00E+00  2.04E-38
  1.38E+01  4.21E-14  4.60E-32  4.60E-32  0.00E+00  7.75E-39
  1.37E+01  4.33E-14  3.10E-32  3.10E-32  0.00E+00  4.75E-39
  1.36E+01  4.46E-14  2.08E-32  2.08E-32  0.00E+00  2.90E-39
  1.35E+01  4.52E-14  1.39E-32  1.39E-32  0.00E+00  1.75E-39
  1.34E+01  4.62E-14  9.25E-33  9.25E-33  0.00E+00  1.05E-39
  1.33E+01  4.80E-14  6.09E-33  6.09E-33  0.00E+00  6.27E-40
  1.32E+01  5.09E-14  3.99E-33  3.99E-33  0.00E+00  3.71E-40
  1.31E+01  5.55E-14  2.59E-33  2.59E-33  0.00E+00  2.17E-40
  1.29E+01  7.54E-14  1.06E-33  1.06E-33  0.00E+00  0.00E+00
  1.28E+01  9.34E-14  6.74E-34  6.74E-34  0.00E+00  0.00E+00
  1.27E+01  1.05E-13  4.26E-34  4.26E-34  0.00E+00  0.00E+00
  1.26E+01  9.66E-14  2.67E-34  2.67E-34  0.00E+00  0.00E+00
  1.25E+01  8.20E-14  1.66E-34  1.66E-34  0.00E+00  0.00E+00
  1.22E+01  7.40E-14  3.84E-35  3.84E-35  0.00E+00  0.00E+00
  1.21E+01  7.95E-14  2.31E-35  2.31E-35  0.00E+00  0.00E+00
  1.20E+01  8.41E-14  1.37E-35  1.37E-35  0.00E+00  0.00E+00
  1.19E+01  8.47E-14  8.17E-36  8.17E-36  0.00E+00  0.00E+00
  1.18E+01  8.50E-14  4.80E-36  4.80E-36  0.00E+00  0.00E+00
  1.17E+01  9.02E-14  2.79E-36  2.79E-36  0.00E+00  0.00E+00
  1.16E+01  1.04E-13  1.61E-36  1.61E-36  0.00E+00  0.00E+00
  1.15E+01  1.34E-13  9.13E-37  9.13E-37  0.00E+00  0.00E+00
  1.14E+01  1.75E-13  5.13E-37  5.13E-37  0.00E+00  0.00E+00
  1.13E+01  2.04E-13  2.86E-37  2.86E-37  0.00E+00  0.00E+00
  1.12E+01  1.74E-13  1.57E-37  1.57E-37  0.00E+00  0.00E+00
  1.11E+01  1.28E-13  8.57E-38  8.57E-38  0.00E+00  0.00E+00
  1.09E+01  8.29E-14  2.47E-38  2.47E-38  0.00E+00  0.00E+00
  1.05E+01  6.50E-14  1.78E-39  1.78E-39  0.00E+00  0.00E+00
  1.00E+01  6.10E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.80E+00  6.04E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.60E+00  5.99E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.50E+00  5.92E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.40E+00  5.80E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.20E+00  5.29E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.90E+00  4.35E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.70E+00  4.50E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.60E+00  4.97E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.50E+00  4.10E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.40E+00  3.43E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.20E+00  2.94E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.00E+00  2.97E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.90E+00  3.20E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.80E+00  3.43E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.70E+00  3.47E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.60E+00  3.19E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.50E+00  2.68E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.30E+00  1.85E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.20E+00  1.62E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.10E+00  1.57E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.00E+00  1.92E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.90E+00  1.34E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.80E+00  1.15E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.60E+00  1.09E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.40E+00  1.34E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.30E+00  1.78E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.20E+00  2.22E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.10E+00  1.71E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.90E+00  9.74E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.50E+00  8.05E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.30E+00  1.01E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.20E+00  1.36E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.10E+00  1.72E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.00E+00  1.29E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.80E+00  7.25E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.50E+00  5.64E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.00E+00  4.91E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.80E+00  4.78E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.60E+00  4.87E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.40E+00  7.28E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.30E+00  1.56E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.20E+00  6.50E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.15E+00  5.08E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.10E+00  4.45E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.08E+00  4.29E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.05E+00  4.10E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.00E+00  3.88E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.90E+00  3.59E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.80E+00  3.38E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.60E+00  3.01E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.50E+00  2.83E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.20E+00  2.27E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.16E+00  2.19E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.00E+00  1.88E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.66E+00  1.21E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.65E+00  1.18E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.25E+00  4.85E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.23E+00  4.63E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.13E+00  3.21E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.00E+00  1.81E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.50E-01  1.38E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.30E-01  1.22E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.20E-01  1.15E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.10E-01  1.08E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.00E-01  1.01E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.90E-01  9.49E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.80E-01  8.87E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.70E-01  8.27E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.60E-01  7.70E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.50E-01  7.16E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.40E-01  6.64E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.33E-01  6.29E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.20E-01  5.67E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.10E-01  5.22E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.00E-01  4.80E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.90E-01  4.40E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.80E-01  4.02E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.70E-01  3.66E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.60E-01  3.33E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.50E-01  3.02E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.40E-01  2.73E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.30E-01  2.46E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.14E-01  2.06E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.10E-01  1.97E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.00E-01  1.76E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.90E-01  1.56E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.80E-01  1.38E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.70E-01  1.22E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.60E-01  1.07E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.50E-01  9.30E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.40E-01  8.08E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.30E-01  6.98E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.25E-01  6.47E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.20E-01  6.00E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.10E-01  5.12E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.00E-01  4.35E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.90E-01  3.68E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.80E-01  3.08E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.70E-01  2.57E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.60E-01  2.12E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.50E-01  1.74E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.48E-01  2.30E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.40E-01  1.97E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.30E-01  1.60E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.20E-01  1.29E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.10E-01  1.03E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.00E-01  8.16E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.90E-01  6.39E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.88E-01  6.08E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.80E-01  4.95E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.76E-01  4.46E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.70E-01  3.79E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.65E-01  3.31E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.60E-01  2.87E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.55E-01  2.49E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.50E-01  2.15E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.44E-01  1.79E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.35E-01  1.35E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.17E-01  7.43E-20  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.00E-01  4.02E-20  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.85E-01  2.24E-20  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.66E-01  9.79E-21  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.57E-01  6.61E-21  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.33E-01  2.00E-21  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.13E-01  6.59E-22  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.00E-01  3.01E-22  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.94E-01  2.07E-22  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.78E-01  7.24E-23  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.63E-01  2.59E-23  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.50E-01  1.05E-23  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.38E-01  4.26E-24  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.27E-01  1.26E-24  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.17E-01  1.96E-25  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.08E-01  2.48E-26  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.00E-01  3.53E-27  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.92E-01  4.71E-28  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.85E-01  7.59E-29  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.79E-01  1.50E-29  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.72E-01  2.09E-30  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.67E-01  4.82E-31  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.61E-01  7.66E-32  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.56E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.52E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.47E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.43E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.39E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.35E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.32E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.28E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.25E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.22E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.19E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.16E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.14E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.11E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.08E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.05E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.03E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.00E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.75E-02  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.50E-02  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.25E-02  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.08E-02  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
